enrollment_id,student_id,course_id,enrolled_on,completion_status,payment_id
91,13157,559,2020-07-04,completed,91
92,1490,116,2009-02-20,dropped,92
93,587,265,2011-10-06,completed,93
94,13500,696,2018-06-06,completed,94
95,4577,300,2013-05-04,completed,95
96,5557,818,2014-01-27,completed,96
97,15062,9,2017-10-23,completed,97
98,8422,84,2019-03-30,completed,98
99,476,716,2017-08-14,completed,99
100,4879,276,2008-08-04,completed,100
101,7204,66,2012-01-29,completed,101
102,3623,264,2020-03-10,completed,102
103,13574,883,2025-10-07,enrolled,103
104,6172,767,2021-12-09,completed,104
105,10095,342,2018-05-28,completed,105
106,17018,733,2012-03-18,dropped,106
107,16597,262,2024-11-29,dropped,107
108,15711,390,2013-11-28,completed,108
109,11369,833,2019-07-02,completed,109
110,16401,470,2011-05-22,completed,110
111,2255,699,2019-06-21,completed,111
112,16519,493,2014-12-01,completed,112
113,5559,119,2023-09-08,completed,113
114,1120,361,2017-12-09,completed,114
115,14102,690,2024-01-23,completed,115
116,17400,248,2018-07-19,completed,116
117,14372,577,2013-12-31,completed,117
118,374,827,2010-08-05,dropped,118
119,8750,351,2016-03-13,completed,119
120,13438,845,2009-11-24,completed,120
121,13233,601,2016-10-23,completed,121
122,6982,871,2025-08-07,enrolled,122
123,12958,91,2019-03-22,completed,123
124,16024,492,2021-10-05,completed,124
125,10829,237,2012-10-09,completed,125
126,10386,741,2016-09-17,completed,126
127,1642,872,2025-06-19,enrolled,127
128,5568,803,2021-11-27,completed,128
129,14627,581,2012-01-14,completed,129
130,2650,422,2010-01-01,completed,130
131,14247,608,2009-05-11,completed,131
132,9426,409,2016-07-30,completed,132
133,6606,218,2017-08-11,dropped,133
134,3490,462,2020-12-10,completed,134
135,6479,92,2014-11-06,dropped,135
136,11815,632,2016-09-19,dropped,136
137,9037,444,2023-11-09,completed,137
138,12942,804,2014-11-16,completed,138
139,16249,54,2022-05-24,completed,139
140,14398,762,2018-09-11,completed,140
141,11885,644,2016-09-19,completed,141
142,10201,512,2019-06-05,completed,142
143,11279,470,2011-05-20,completed,143
144,15213,808,2009-07-08,completed,144
145,8686,358,2020-08-29,completed,145
146,9933,561,2009-11-02,completed,146
147,11720,544,2018-12-06,completed,147
148,4138,356,2012-05-10,completed,148
149,947,607,2018-03-06,completed,149
150,9334,140,2022-05-10,dropped,150
151,7480,868,2025-06-30,enrolled,151
152,6141,859,2025-07-09,enrolled,152
153,14734,333,2010-01-21,completed,153
154,14876,281,2021-03-24,completed,154
155,14370,774,2024-04-16,completed,155
156,1958,336,2014-06-21,dropped,156
157,7410,718,2021-04-25,completed,157
158,1027,117,2020-11-13,completed,158
159,16164,573,2009-10-15,completed,159
160,6742,637,2017-12-26,completed,160
161,9475,726,2008-08-09,completed,161
162,10309,31,2019-03-02,completed,162
163,4468,493,2014-11-26,completed,163
164,2561,702,2020-12-10,completed,164
165,5799,469,2015-03-05,completed,165
166,4462,279,2018-12-28,completed,166
167,901,135,2015-10-05,completed,167
168,4218,66,2012-02-05,completed,168
169,6704,436,2019-07-27,completed,169
170,9460,262,2024-12-08,completed,170
171,14596,61,2017-06-13,completed,171
172,106,194,2014-08-19,completed,172
173,15857,505,2014-10-13,dropped,173
174,14505,323,2008-06-12,completed,174
175,15622,594,2021-06-19,completed,175
176,1667,171,2024-10-12,completed,176
177,1819,561,2009-11-27,completed,177
178,6479,748,2010-06-03,completed,178
179,4727,264,2020-03-25,completed,179
180,459,255,2019-12-12,completed,180
181,11068,405,2018-07-26,completed,181
182,4339,328,2019-12-27,completed,182
183,5511,123,2021-05-02,completed,183
184,8849,430,2018-11-03,completed,184
185,551,187,2021-12-08,completed,185
186,8908,896,2025-05-26,enrolled,186
187,7339,444,2023-11-29,completed,187
188,13264,823,2012-07-22,completed,188
189,95,102,2018-06-17,completed,189
190,11467,661,2010-11-09,completed,190
191,6000,864,2025-07-02,enrolled,191
192,13350,717,2019-07-20,completed,192
193,10847,702,2020-12-23,completed,193
194,9257,140,2022-04-30,completed,194
195,10612,745,2024-03-24,completed,195
196,13061,37,2024-05-16,completed,196
197,5284,687,2009-08-13,completed,197
198,14225,98,2023-07-12,completed,198
199,11437,284,2016-03-02,completed,199
200,16967,837,2010-02-26,completed,200
201,3008,888,2025-06-12,enrolled,201
202,14974,808,2009-07-15,completed,202
203,7136,807,2010-06-30,completed,203
204,7748,66,2012-01-16,completed,204
205,27,434,2016-09-02,completed,205
206,10177,861,2025-06-21,enrolled,206
207,15251,678,2010-03-29,completed,207
208,7725,147,2016-03-27,completed,208
209,329,323,2008-06-20,completed,209
210,3861,104,2012-08-30,completed,210
211,2792,700,2008-11-16,completed,211
212,6757,442,2016-03-04,completed,212
213,5128,289,2015-05-02,completed,213
214,4821,5,2010-01-31,completed,214
215,8792,107,2012-10-11,completed,215
216,13143,104,2012-08-12,completed,216
217,4039,54,2022-04-26,completed,217
218,8263,339,2022-03-19,completed,218
219,10080,251,2023-10-15,completed,219
220,6012,434,2016-09-03,completed,220
221,5674,406,2019-06-25,completed,221
222,16014,513,2021-06-26,completed,222
223,13435,202,2016-08-20,completed,223
224,4886,731,2019-11-12,completed,224
225,15707,12,2021-07-14,completed,225
226,7978,765,2012-03-19,completed,226
227,7206,596,2012-07-25,dropped,227
228,12483,566,2010-02-16,completed,228
229,3223,225,2022-08-26,completed,229
230,8717,724,2015-04-04,completed,230
231,4099,795,2016-08-11,completed,231
232,6637,822,2012-06-15,completed,232
233,15939,567,2023-09-17,completed,233
234,4037,209,2015-09-03,completed,234
235,1463,895,2025-06-27,enrolled,235
236,4402,485,2020-07-01,completed,236
237,105,849,2022-11-18,completed,237
238,1612,39,2018-03-16,completed,238
239,8871,218,2017-07-17,completed,239
240,4888,428,2022-09-17,completed,240
241,11208,710,2019-01-28,dropped,241
242,16888,242,2022-12-30,dropped,242
243,11342,627,2018-12-21,completed,243
244,9139,96,2010-05-21,completed,244
245,5544,190,2012-09-28,completed,245
246,938,697,2021-12-24,dropped,246
247,11253,137,2020-02-10,completed,247
248,3435,740,2020-08-01,completed,248
249,13680,378,2009-03-16,completed,249
250,16197,762,2018-09-15,completed,250
251,6786,905,2025-09-27,enrolled,251
252,4021,713,2024-03-12,completed,252
253,4945,793,2009-07-01,completed,253
254,2183,731,2019-10-22,completed,254
255,8219,234,2022-04-06,completed,255
256,537,904,2025-06-15,enrolled,256
257,3697,434,2016-09-07,completed,257
258,3125,467,2009-10-03,completed,258
259,10247,97,2020-07-16,completed,259
260,8050,415,2015-12-28,completed,260
261,9021,602,2014-05-28,completed,261
262,12307,231,2009-02-01,dropped,262
263,1366,643,2022-03-09,dropped,263
264,81,394,2023-10-01,completed,264
265,14690,275,2010-09-07,dropped,265
266,14998,844,2023-11-12,completed,266
267,4579,9,2017-10-26,completed,267
268,17230,396,2019-10-17,completed,268
269,6925,111,2009-07-17,completed,269
270,1814,845,2009-11-09,completed,270
271,13504,163,2020-03-19,completed,271
272,15247,295,2008-08-23,completed,272
273,16703,572,2013-04-18,completed,273
274,6665,677,2015-09-17,dropped,274
275,7036,68,2022-06-18,completed,275
276,13202,881,2025-06-13,enrolled,276
277,12103,658,2022-02-02,completed,277
278,12449,876,2025-09-18,enrolled,278
279,4406,741,2016-09-21,dropped,279
280,1743,597,2008-11-06,dropped,280
281,4863,807,2010-07-07,completed,281
282,3088,362,2011-02-27,completed,282
283,16332,44,2014-01-29,completed,283
284,3809,68,2022-06-25,dropped,284
285,4976,342,2018-05-23,completed,285
286,6539,905,2025-10-11,enrolled,286
287,11746,588,2011-06-26,completed,287
288,12039,654,2015-03-25,completed,288
289,9702,369,2010-03-25,completed,289
290,9915,155,2022-11-14,completed,290
291,15964,172,2011-07-25,completed,291
292,2948,322,2020-09-04,completed,292
293,2294,886,2025-07-11,enrolled,293
294,17477,104,2012-08-27,dropped,294
295,16254,463,2013-04-23,completed,295
296,11135,149,2022-07-11,completed,296
297,6605,735,2022-12-05,dropped,297
298,1764,258,2011-11-03,dropped,298
299,15521,549,2015-01-07,completed,299
300,6182,107,2012-10-17,dropped,300
301,2462,62,2020-07-03,completed,301
302,15473,287,2009-03-20,completed,302
303,5531,210,2018-11-16,completed,303
304,15691,908,2025-09-06,enrolled,304
305,12580,697,2021-12-09,completed,305
306,7719,879,2025-05-26,enrolled,306
307,11630,313,2020-11-03,completed,307
308,1967,531,2011-04-23,completed,308
309,4801,875,2025-07-08,enrolled,309
310,6879,160,2024-08-27,completed,310
311,11097,417,2022-04-26,dropped,311
312,4994,86,2013-06-29,completed,312
313,2781,563,2014-04-12,dropped,313
314,6110,321,2015-07-25,completed,314
315,11644,490,2020-08-27,completed,315
316,1524,126,2013-12-10,completed,316
317,9389,910,2025-07-24,enrolled,317
318,3255,540,2013-01-09,dropped,318
319,16912,660,2023-03-18,completed,319
320,1816,486,2014-07-17,completed,320
321,2151,96,2010-05-30,completed,321
322,919,482,2018-10-10,completed,322
323,3670,843,2023-10-12,completed,323
324,10425,299,2015-10-21,completed,324
325,10751,274,2023-08-18,completed,325
326,10707,743,2024-10-18,completed,326
327,4817,468,2023-08-17,dropped,327
328,13994,852,2023-09-25,completed,328
329,16373,177,2015-09-26,dropped,329
330,12048,793,2009-07-12,completed,330
331,12452,703,2019-01-25,completed,331
332,9283,402,2022-12-11,completed,332
333,5122,913,2025-07-03,enrolled,333
334,3057,380,2015-10-01,completed,334
335,6423,731,2019-10-29,completed,335
336,4795,307,2024-10-17,enrolled,336
337,13344,825,2016-05-28,completed,337
338,15086,681,2013-07-21,completed,338
339,15697,542,2021-03-03,completed,339
340,11001,642,2017-09-22,dropped,340
341,2763,498,2012-10-12,completed,341
342,7788,332,2016-02-22,dropped,342
343,2794,434,2016-09-12,completed,343
344,14797,65,2014-03-08,dropped,344
345,2165,552,2022-01-19,completed,345
346,9770,656,2009-10-03,completed,346
347,5087,43,2008-07-05,completed,347
348,16400,613,2022-03-21,completed,348
349,2773,786,2023-10-31,completed,349
350,2476,229,2024-10-06,completed,350
351,6117,605,2020-04-23,completed,351
352,8711,202,2016-07-28,completed,352
353,1553,170,2019-07-22,completed,353
354,25,678,2010-03-11,completed,354
355,15836,371,2020-07-10,completed,355
356,11191,547,2021-05-21,completed,356
357,2717,495,2018-05-17,completed,357
358,6196,293,2013-07-30,completed,358
359,5161,52,2014-11-19,completed,359
360,15814,476,2021-05-21,completed,360
361,5255,167,2010-02-28,dropped,361
362,10839,534,2020-06-07,dropped,362
363,9268,639,2021-02-22,completed,363
364,9935,784,2021-05-11,completed,364
365,15606,80,2024-05-18,completed,365
366,14647,106,2023-05-20,dropped,366
367,12295,46,2014-12-28,completed,367
368,10512,111,2009-07-20,completed,368
369,1242,257,2011-02-19,completed,369
370,9860,854,2023-01-01,completed,370
371,11510,627,2018-12-11,completed,371
372,15104,91,2019-03-11,completed,372
373,4630,826,2024-11-24,completed,373
374,9457,747,2021-12-11,completed,374
375,6499,299,2015-10-18,completed,375
376,15185,186,2009-09-09,completed,376
377,16402,651,2012-05-19,completed,377
378,15760,167,2010-03-02,completed,378
379,6999,397,2014-10-02,completed,379
380,10458,487,2024-11-16,enrolled,380
381,12337,95,2013-11-29,completed,381
382,10158,587,2010-06-09,completed,382
383,12634,846,2009-08-11,completed,383
384,1888,642,2017-08-28,completed,384
385,5465,669,2013-09-13,completed,385
386,4975,414,2022-04-06,completed,386
387,17267,565,2016-01-06,completed,387
388,15175,516,2015-08-13,completed,388
389,11630,185,2018-07-02,completed,389
390,691,524,2023-02-21,completed,390
391,16167,502,2017-03-26,completed,391
392,10970,312,2017-05-25,completed,392
393,738,639,2021-02-12,completed,393
394,2434,640,2016-04-06,completed,394
395,14896,559,2020-06-25,completed,395
396,9088,488,2024-08-31,completed,396
397,6319,280,2022-12-29,completed,397
398,15380,563,2014-04-10,completed,398
399,13296,450,2011-10-07,completed,399
400,5440,802,2012-02-07,dropped,400
401,4151,806,2010-06-13,completed,401
402,7252,28,2020-03-07,completed,402
403,821,673,2020-09-05,dropped,403
404,6598,268,2024-06-28,dropped,404
405,11396,590,2020-09-24,completed,405
406,5028,806,2010-06-17,completed,406
407,14053,342,2018-05-18,completed,407
408,17455,443,2016-07-14,completed,408
409,206,72,2019-01-04,completed,409
410,3479,810,2022-11-06,completed,410
411,7439,842,2012-11-06,completed,411
412,9284,840,2013-11-10,completed,412
413,13290,813,2017-09-15,completed,413
414,12266,170,2019-08-05,completed,414
415,10804,474,2012-11-02,completed,415
416,14649,429,2023-07-07,completed,416
417,13521,44,2014-02-11,completed,417
418,7686,71,2015-07-04,completed,418
419,3654,76,2021-01-14,dropped,419
420,8994,530,2019-08-20,dropped,420
421,2450,45,2014-05-23,completed,421
422,4921,604,2012-08-06,completed,422
423,8471,556,2019-12-28,completed,423
424,5720,445,2009-08-30,dropped,424
425,14196,153,2022-11-27,completed,425
426,7438,475,2018-01-12,completed,426
427,10929,789,2021-12-05,completed,427
428,5693,700,2008-11-04,completed,428
429,164,372,2017-07-11,completed,429
430,11573,687,2009-08-11,completed,430
431,5820,354,2013-09-27,completed,431
432,3421,521,2022-08-19,dropped,432
433,15384,871,2025-08-17,enrolled,433
434,14529,277,2010-07-22,completed,434
435,851,269,2010-03-23,dropped,435
436,8390,187,2021-11-24,completed,436
437,8257,198,2018-04-15,dropped,437
438,2496,31,2019-02-23,completed,438
439,7649,118,2023-10-18,completed,439
440,9045,383,2023-05-25,completed,440
441,13015,666,2022-06-12,completed,441
442,14818,749,2015-08-10,completed,442
443,8121,364,2008-05-18,completed,443
444,6984,1,2017-04-07,completed,444
445,13969,702,2020-12-02,completed,445
446,9154,519,2020-03-07,completed,446
447,8837,847,2020-04-15,completed,447
448,15359,82,2009-08-30,completed,448
449,6923,182,2024-07-25,dropped,449
450,2617,259,2022-02-19,completed,450
451,11309,854,2022-12-09,completed,451
452,5378,143,2025-01-18,enrolled,452
453,8676,883,2025-10-05,enrolled,453
454,10635,192,2020-02-23,completed,454
455,914,403,2024-07-20,completed,455
456,3690,833,2019-06-08,completed,456
457,3831,651,2012-05-20,completed,457
458,8325,550,2015-03-11,completed,458
459,16843,26,2011-08-07,completed,459
460,5814,212,2015-02-03,completed,460
461,12754,286,2022-04-30,completed,461
462,15902,110,2009-08-03,completed,462
463,14306,276,2008-07-29,completed,463
464,3719,634,2016-09-04,completed,464
465,8849,900,2025-08-17,enrolled,465
466,1787,586,2009-11-25,completed,466
467,10744,575,2023-12-22,completed,467
468,14374,233,2015-01-17,completed,468
469,9261,832,2019-05-26,completed,469
470,12025,250,2019-07-14,completed,470
471,1678,263,2016-05-05,completed,471
472,16020,262,2024-12-01,completed,472
473,15555,382,2008-07-05,completed,473
474,12697,411,2012-11-02,dropped,474
475,10198,563,2014-04-17,completed,475
476,3333,699,2019-07-07,completed,476
477,6814,838,2013-05-25,dropped,477
478,2225,330,2018-07-25,completed,478
479,15580,589,2025-01-04,completed,479
480,14775,490,2020-08-31,completed,480
481,1032,427,2019-12-22,completed,481
482,9117,53,2024-04-27,completed,482
483,7705,828,2024-09-26,completed,483
484,7944,594,2021-06-04,completed,484
485,10806,912,2025-05-08,enrolled,485
486,10804,859,2025-06-13,enrolled,486
487,1762,420,2015-12-06,completed,487
488,5567,71,2015-07-23,completed,488
489,1117,626,2013-06-19,completed,489
490,6060,236,2019-06-27,completed,490
491,660,529,2014-04-23,completed,491
492,413,824,2017-06-09,completed,492
493,1679,311,2015-12-21,dropped,493
494,8018,69,2011-04-10,completed,494
495,10093,296,2008-06-03,completed,495
496,34,414,2022-03-16,completed,496
497,10110,133,2010-09-03,dropped,497
498,4618,324,2020-11-21,completed,498
499,9170,676,2015-01-17,completed,499
500,17114,436,2019-08-15,dropped,500
501,192,300,2013-05-12,completed,501
502,8059,742,2015-06-18,completed,502
503,12220,131,2013-07-27,completed,503
504,11262,236,2019-07-11,dropped,504
505,6562,791,2017-06-02,dropped,505
506,1717,622,2019-06-12,dropped,506
507,16208,839,2010-07-01,completed,507
508,10757,742,2015-06-25,dropped,508
509,17462,207,2022-02-01,completed,509
510,4828,296,2008-05-22,completed,510
511,5925,234,2022-03-31,completed,511
512,919,463,2013-04-08,completed,512
513,3012,321,2015-07-14,completed,513
514,2056,912,2025-05-16,enrolled,514
515,4185,900,2025-08-19,enrolled,515
516,11850,484,2016-01-20,completed,516
517,17382,545,2020-10-26,completed,517
518,12198,117,2020-10-22,completed,518
519,1216,148,2012-11-13,completed,519
520,1502,316,2016-07-28,completed,520
521,11324,415,2015-12-17,completed,521
522,2966,894,2025-06-24,enrolled,522
523,10834,740,2020-07-24,completed,523
524,10055,421,2016-08-13,completed,524
525,16872,353,2023-02-04,completed,525
526,10164,323,2008-06-17,completed,526
527,1624,810,2022-11-03,completed,527
528,10980,460,2015-04-23,dropped,528
529,9526,481,2010-03-15,completed,529
530,16489,1,2017-04-09,completed,530
531,9171,438,2011-05-25,completed,531
532,13135,382,2008-07-01,dropped,532
533,15114,354,2013-10-03,completed,533
534,369,109,2008-06-10,completed,534
535,9920,397,2014-09-19,completed,535
536,3794,758,2012-09-13,completed,536
537,11417,300,2013-04-20,dropped,537
538,16308,415,2015-12-14,completed,538
539,5030,452,2013-08-25,completed,539
540,2133,68,2022-06-06,completed,540
541,12148,752,2020-10-11,completed,541
542,5790,891,2025-07-02,enrolled,542
543,10583,194,2014-08-28,completed,543
544,11009,597,2008-10-21,dropped,544
545,12988,248,2018-06-25,completed,545
546,11184,834,2010-04-25,dropped,546
547,2127,34,2017-05-27,completed,547
548,6781,357,2023-12-02,completed,548
549,11399,477,2023-07-26,completed,549
550,9667,112,2009-10-03,completed,550
551,16875,586,2009-12-01,completed,551
552,3664,307,2024-10-22,enrolled,552
553,16423,856,2020-05-22,completed,553
554,6663,893,2025-05-19,enrolled,554
555,15280,614,2025-02-22,dropped,555
556,5830,711,2020-10-24,completed,556
557,8777,608,2009-06-01,completed,557
558,16524,331,2008-07-14,completed,558
559,11477,59,2010-04-19,completed,559
560,17054,720,2010-02-27,completed,560
561,16566,604,2012-07-31,completed,561
562,14328,121,2024-02-28,completed,562
563,11962,847,2020-04-20,completed,563
564,14339,580,2015-12-13,dropped,564
565,13202,847,2020-04-16,completed,565
566,11423,881,2025-06-28,enrolled,566
567,9795,168,2008-10-18,completed,567
568,9839,202,2016-08-19,completed,568
569,11555,686,2023-05-08,completed,569
570,4576,487,2024-11-10,enrolled,570
571,3119,278,2010-07-29,completed,571
572,7911,498,2012-09-26,dropped,572
573,14638,810,2022-11-06,completed,573
574,7360,575,2023-12-24,completed,574
575,7908,214,2018-11-03,completed,575
576,11185,715,2017-09-14,completed,576
577,104,91,2019-03-06,completed,577
578,10912,788,2022-10-15,completed,578
579,14775,900,2025-08-16,enrolled,579
580,15746,338,2021-07-10,completed,580
581,1603,643,2022-02-22,completed,581
582,11140,820,2016-03-05,completed,582
583,6261,295,2008-08-23,dropped,583
584,3363,766,2017-05-08,completed,584
585,6109,339,2022-03-20,completed,585
586,6865,505,2014-10-29,completed,586
587,4723,371,2020-07-08,dropped,587
588,4608,174,2020-12-07,completed,588
589,9201,560,2010-11-19,completed,589
590,6548,633,2024-05-24,completed,590
591,16590,766,2017-05-18,completed,591
592,2997,522,2021-07-24,completed,592
593,13210,646,2013-09-10,completed,593
594,6633,523,2022-03-18,dropped,594
595,128,371,2020-06-23,completed,595
596,16933,408,2017-08-22,dropped,596
597,11647,699,2019-07-05,completed,597
598,5287,110,2009-08-02,completed,598
599,1596,678,2010-03-24,completed,599
600,17182,776,2023-04-25,completed,600
601,7015,494,2017-03-18,dropped,601
602,13881,236,2019-06-24,completed,602
603,12211,151,2015-01-19,dropped,603
604,9869,588,2011-06-10,dropped,604
605,6096,110,2009-07-27,completed,605
606,17239,338,2021-07-02,dropped,606
607,3195,496,2011-02-04,completed,607
608,17497,531,2011-05-08,completed,608
609,14134,346,2023-06-14,completed,609
610,15835,656,2009-10-05,completed,610
611,5022,9,2017-10-14,completed,611
612,12888,269,2010-04-04,completed,612
613,16943,604,2012-08-16,completed,613
614,9462,221,2020-11-17,completed,614
615,7001,722,2024-11-14,enrolled,615
616,5811,90,2019-05-27,completed,616
617,2092,255,2019-11-23,completed,617
618,15477,484,2016-02-10,completed,618
619,10698,912,2025-05-13,enrolled,619
620,10764,687,2009-07-27,completed,620
621,14419,818,2014-01-08,dropped,621
622,14866,121,2024-03-13,completed,622
623,11139,323,2008-06-16,completed,623
624,16769,358,2020-09-07,completed,624
625,12122,121,2024-03-04,completed,625
626,5090,476,2021-05-20,completed,626
627,5521,457,2014-03-13,completed,627
628,7826,160,2024-08-28,completed,628
629,5803,462,2020-12-28,completed,629
630,3860,331,2008-07-01,completed,630
631,1883,519,2020-03-15,completed,631
632,10443,740,2020-07-20,completed,632
633,17170,445,2009-09-01,completed,633
634,4199,421,2016-09-08,completed,634
635,2777,746,2017-11-22,completed,635
636,4294,294,2010-08-10,completed,636
637,487,519,2020-03-02,completed,637
638,12350,908,2025-09-11,enrolled,638
639,14518,868,2025-07-19,enrolled,639
640,1818,248,2018-07-01,completed,640
641,1901,408,2017-08-26,completed,641
642,15609,356,2012-06-05,dropped,642
643,12779,213,2025-01-16,dropped,643
644,6097,580,2016-01-07,completed,644
645,12472,780,2009-06-16,completed,645
646,4340,12,2021-07-04,completed,646
647,13488,854,2022-12-13,dropped,647
648,16372,900,2025-08-27,enrolled,648
649,4321,257,2011-03-07,completed,649
650,15499,860,2025-07-13,enrolled,650
651,13292,66,2012-01-28,completed,651
652,11747,19,2016-04-03,completed,652
653,14031,751,2022-06-07,completed,653
654,11636,561,2009-11-01,completed,654
655,6705,730,2010-03-31,dropped,655
656,16660,497,2013-06-16,completed,656
657,5048,673,2020-08-25,completed,657
658,4907,232,2015-02-08,completed,658
659,6134,627,2018-12-12,completed,659
660,8230,692,2009-07-19,completed,660
661,7941,530,2019-08-18,completed,661
662,17556,562,2013-01-29,completed,662
663,8034,882,2025-07-16,enrolled,663
664,16825,283,2016-08-06,completed,664
665,7592,613,2022-03-19,completed,665
666,7849,777,2022-04-22,completed,666
667,207,686,2023-05-07,completed,667
668,4281,251,2023-10-14,completed,668
669,10660,772,2011-07-02,completed,669
670,3947,906,2025-08-12,enrolled,670
671,5682,843,2023-10-26,completed,671
672,5531,682,2011-01-26,completed,672
673,7267,90,2019-06-11,completed,673
674,11991,730,2010-04-10,dropped,674
675,1734,106,2023-06-07,completed,675
676,11501,4,2010-07-18,dropped,676
677,17147,447,2015-06-26,completed,677
678,5511,778,2022-01-29,completed,678
679,1088,44,2014-02-10,completed,679
680,9863,516,2015-08-06,dropped,680
681,9431,282,2024-05-09,completed,681
682,3331,267,2018-06-30,completed,682
683,5142,38,2013-02-11,completed,683
684,9153,548,2011-04-07,completed,684
685,14339,338,2021-07-13,completed,685
686,4982,267,2018-07-12,completed,686
687,16127,159,2020-07-16,completed,687
688,12149,913,2025-07-25,enrolled,688
689,4474,898,2025-05-11,enrolled,689
690,2258,589,2025-01-10,completed,690
691,5420,207,2022-01-25,completed,691
692,8365,864,2025-07-09,enrolled,692
693,1756,656,2009-10-05,completed,693
694,8709,701,2012-12-27,completed,694
695,12687,380,2015-09-30,completed,695
696,2036,67,2023-07-21,dropped,696
697,7981,295,2008-08-28,completed,697
698,15089,199,2012-04-04,completed,698
699,918,379,2010-09-29,completed,699
700,17310,157,2015-11-28,dropped,700
701,8035,75,2020-11-06,completed,701
702,13295,135,2015-09-20,dropped,702
703,1230,725,2021-02-21,completed,703
704,882,218,2017-08-03,completed,704
705,479,543,2019-12-22,completed,705
706,7396,830,2013-12-25,completed,706
707,17462,9,2017-11-10,completed,707
708,10295,654,2015-03-20,dropped,708
709,10090,304,2014-05-26,completed,709
710,4934,280,2023-01-05,completed,710
711,9876,513,2021-06-06,completed,711
712,488,366,2020-11-01,completed,712
713,9190,406,2019-06-04,dropped,713
714,10740,430,2018-10-30,completed,714
715,7366,32,2023-01-22,completed,715
716,12327,153,2022-12-02,dropped,716
717,10718,332,2016-02-13,completed,717
718,6336,684,2019-07-27,completed,718
719,15020,72,2019-01-07,completed,719
720,3760,759,2008-09-26,completed,720
721,4832,154,2017-03-14,completed,721
722,16961,451,2015-07-01,dropped,722
723,13837,387,2024-02-13,completed,723
724,10525,498,2012-09-20,completed,724
